sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1273pool12	303	81864	56	19	798	62	183417
BdM1777pool32	165	236	339842	114	120	1640	1161925
BdM1262pool12	3914	588812	214	101	4430	146	1259656
BdM1229pool11	127	32	3	28553	393	47	64742
BdM1799pool34	217308	17	21	16	0	483	280003
BdM1750pool32	95	176	155479	715	246	392	534920
BdM1795pool34	548760	14	18	43	1	609	696329
BdM1052pool14	343	45	8	2944	234050	325	460776
BdM1241pool05	138012	1095	3	590	69	58	136589
BdM1216pool24	294	162	17	180048	1672	27	378526
BdM1797pool34	311940	25	17	4	47	1279	396528
BdM1796pool34	448965	22	14	54	0	1006	649060
BdM1238pool05	165498	4	4	40	2	148	204756
BdM1275pool12	504	476404	218	40	3087	402	981906
BdM1220pool21	576890	574913	0	21550	155	154	170082
BdM1800pool34	1630250	81	196	179	2	830	1684774
BdM1264pool12	277	231486	104	28	1436	77	465829
BdM1258pool12	963	395428	211	69	3134	60	848381
BdM1798pool34	1311043	6	12	124	1	1079	1412445
BdM1774pool32	945	1710	5270	439	197	678	1119851
BdM1776pool32	285	303	464185	151	181	713	1540176
